expert,role,context,detailed_opinion,conclusion
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,"🔹 Opinion 16: Yes, after every team has played its three matches, IPL this year is becoming more interesting after every match.",No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,Below we can see all the Win/Loss combinations of this year IPL teams with SRH winning all of its 3 matches and MI loosing all three.,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,🔹 Opinion 17: A great IPL for youngsters. After 9 seasons of IPL this was clearly by far the most productive season that served the purpose of the league that is finding and nurturing young talent. India founded a new lot of young players and most of them will be seen in the international circuit very soon.,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,"🔹 Opinion 18: Like every season of IPL, the latest edition too had a lot in store.Trying to put in the best ones.",No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,There is one guy in twitter who predicted the teams who would qualify for playoffs way before I think almost two months before the ipl on 27th of July and the team who could win the IPL and till now all his predictions came to be true.,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,Today I was watching IPL match between Pune and Kolkata.,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,🔹 Opinion 23: Here’s my top ten highlights of IPL 2018:,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,🔹 Opinion 24: The IPL in 2018 might be played as trial for The world cup 2019.,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,In my opinion the IPL is going to be a powerful show of big hitting . Every player either new or old will try to showcase his talent in order to get selected for England tour 2018 and world cup probables list.It [ http://list.It ] is hoped that probables list for WC 2019 willbe declared some where in 2018.Every body will try to be in,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,"You mean IPL 2014, where",No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,Yusuf Pathan scored the then fastest IPL fifty and ensured KKR a place in Qualifier 1 with his incredible 72(22).,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,"🔹 Opinion 26: No, at all. The reason behind this is that IPL stands for the Indian Premier League, so it should have happened in India. But the increasing cases of corona in India, the whole season shifted to Dubai. It affects the Indian audience to join this IPL season, and this is the reason it is not going to be exciting.",No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,"🔹 Opinion 29: I think IPL is an entertainment business. It provides pure entertainment to the viewers and great business to the organisers and players. So, i guess every one should be happy.",No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,"Also, IPL has thrown up several new talented players for the Indian cricket team. In a way IPL has helped India to perform well even in the absence of senior players as younger players(particularly in Delhi Frnachise) were already used to playing in pressure situations. So, IPL leaves up to the expectation of it being a game.",No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,🔹 Opinion 32: Fixed or not. This is year IPL came as a SHOCK.,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,Before IPL,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,🔹 Opinion 33: Here are major benefits for cricket fans when they are watching IPL.,No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,"🔹 Opinion 34: IPL might be the most exciting, entertaining, dramatic tournament in the world . IPL in the initial years was interesting but later on lost it's sheen a bit. It might have much more drama when compared to international cricket but still I have lost interest in IPL over the years. Today I don't see each and every match of IPL due to the following reasons :",No formal conclusion provided
Community Opinion,Public Discussion,General discussions and opinions from forums/social media,🔹 Opinion 35: I personally feel IPL 13 gonna be more competitive than the previous seasons . We have seen young players performing really good .,No formal conclusion provided
